[E 260424 09:31:14 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData. Error: Too many requests. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '10:68:38:24:92:8e', 'Accept': 'application/json', 'X-PrivateKey': 'cYg849iM', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'exchange': 'NSE', 'symboltoken': '910', 'interval': 'FIFTEEN_MINUTE', 'fromdate': '2026-04-22 09:31', 'todate': '2026-04-24 09:31'}, Response: {'message': 'Too many requests', 'errorcode': 'AB1021', 'status': False, 'data': None}
[E 260424 09:40:14 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData. Error: Too many requests. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '10:68:38:24:92:8e', 'Accept': 'application/json', 'X-PrivateKey': 'cYg849iM', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'exchange': 'NSE', 'symboltoken': '21808', 'interval': 'FIFTEEN_MINUTE', 'fromdate': '2026-04-22 09:40', 'todate': '2026-04-24 09:40'}, Response: {'message': 'Too many requests', 'errorcode': 'AB1021', 'status': False, 'data': None}
[E 260424 10:03:14 smartConnect:221] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData. Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '10:68:38:24:92:8e', 'Accept': 'application/json', 'X-PrivateKey': 'cYg849iM', 'X-UserType': 'USER', 'X-SourceID': 'WEB', 'Authorization': 'Bearer eyJhbGciOiJIUzUxMiJ9.eyJ1c2VybmFtZSI6Ikg2MTYwNzIwNSIsInJvbGVzIjowLCJ1c2VydHlwZSI6IlVTRVIiLCJ0b2tlbiI6ImV5SmhiR2NpT2lKU1V6STFOaUlzSW5SNWNDSTZJa3BYVkNKOS5leUoxYzJWeVgzUjVjR1VpT2lKamJHbGxiblFpTENKMGIydGxibDkwZVhCbElqb2lkSEpoWkdWZllXTmpaWE56WDNSdmEyVnVJaXdpWjIxZmFXUWlPakV6TENKemIzVnlZMlVpT2lJeklpd2laR1YyYVdObFgybGtJam9pTm1OalltRmhZak10TnpNME5pMHpOamMxTFRsbVptSXRaREU1T1RFNFltUTVNMlEySWl3aWEybGtJam9pZEhKaFpHVmZhMlY1WDNZeUlpd2liMjF1WlcxaGJtRm5aWEpwWkNJNk1UTXNJbkJ5YjJSMVkzUnpJanA3SW1SbGJXRjBJanA3SW5OMFlYUjFjeUk2SW1GamRHbDJaU0o5TENKdFppSTZleUp6ZEdGMGRYTWlPaUpoWTNScGRtVWlmU3dpYm1KMVRHVnVaR2x1WnlJNmV5SnpkR0YwZFhNaU9pSmhZM1JwZG1VaWZYMHNJbWx6Y3lJNkluUnlZV1JsWDJ4dloybHVYM05sY25acFkyVWlMQ0p6ZFdJaU9pSklOakUyTURjeU1EVWlMQ0psZUhBaU9qRTNOemN3T0RnMU5qTXNJbTVpWmlJNk1UYzNOekF3TVRrNE15d2lhV0YwSWpveE56YzNNREF4T1RnekxDSnFkR2tpT2lKbFptRTVaVEJrTnkxaFl6UTVMVFE0WVRZdFlUY3dZeTA0WkRNMk1UY3dNemN5WmpjaUxDSlViMnRsYmlJNklpSjkuWUh6dlVnanN6MlNNaHhrVkxnRlZuUHU3YktqVS1oR0NQYTZ4NUtPWlFXM2toOC1uRGRwczVRU0cycE5HcXlheGtDazV3eFRLTjQ5Q3R4ZVdpVmNQaTRHdDFsMVdRUnhNcEFYLTAtd1owN1ppeFAzSldRNjdiaWJsV2hNbG9YSkVwS1VCRzROeDdFUUdfaWFPblhQWGJ4S21JYUN1RXdDVjl6M29YUjc2RFZJIiwiQVBJLUtFWSI6ImNZZzg0OWlNIiwiWC1PTEQtQVBJLUtFWSI6ZmFsc2UsImlhdCI6MTc3NzAwMjE2MywiZXhwIjoxNzc3MDU1NDAwfQ.LvG4OxUVYRCPq8apLGUryh2FP35Zs2UE9i77OOpHley24LkXpYJO1YMArT5J_77a0r5mz9KFjii8yxaQ9c7SaQ'}, Request: {'exchange': 'NSE', 'symboltoken': '1922', 'interval': 'FIFTEEN_MINUTE', 'fromdate': '2026-04-22 10:03', 'todate': '2026-04-24 10:03'}, Response: HTTPSConnectionPool(host='apiconnect.angelone.in', port=443): Read timed out. (read timeout=7)
[E 260424 10:10:14 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData. Error: Too many requests. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '10:68:38:24:92:8e', 'Accept': 'application/json', 'X-PrivateKey': 'cYg849iM', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'exchange': 'NSE', 'symboltoken': '467', 'interval': 'FIFTEEN_MINUTE', 'fromdate': '2026-04-22 10:10', 'todate': '2026-04-24 10:10'}, Response: {'message': 'Too many requests', 'errorcode': 'AB1021', 'status': False, 'data': None}
[E 260424 10:17:14 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData. Error: Too many requests. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '10:68:38:24:92:8e', 'Accept': 'application/json', 'X-PrivateKey': 'cYg849iM', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'exchange': 'NSE', 'symboltoken': '1232', 'interval': 'FIFTEEN_MINUTE', 'fromdate': '2026-04-22 10:17', 'todate': '2026-04-24 10:17'}, Response: {'message': 'Too many requests', 'errorcode': 'AB1021', 'status': False, 'data': None}
[E 260424 10:25:13 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData. Error: Too many requests. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '10:68:38:24:92:8e', 'Accept': 'application/json', 'X-PrivateKey': 'cYg849iM', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'exchange': 'NSE', 'symboltoken': '3456', 'interval': 'FIFTEEN_MINUTE', 'fromdate': '2026-04-22 10:25', 'todate': '2026-04-24 10:25'}, Response: {'message': 'Too many requests', 'errorcode': 'AB1021', 'status': False, 'data': None}
[E 260424 10:45:13 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData. Error: Too many requests. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '10:68:38:24:92:8e', 'Accept': 'application/json', 'X-PrivateKey': 'cYg849iM', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'exchange': 'NSE', 'symboltoken': '547', 'interval': 'FIFTEEN_MINUTE', 'fromdate': '2026-04-22 10:45', 'todate': '2026-04-24 10:45'}, Response: {'message': 'Too many requests', 'errorcode': 'AB1021', 'status': False, 'data': None}
[E 260424 11:00:15 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData. Error: Too many requests. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '10:68:38:24:92:8e', 'Accept': 'application/json', 'X-PrivateKey': 'cYg849iM', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'exchange': 'NSE', 'symboltoken': '11723', 'interval': 'FIFTEEN_MINUTE', 'fromdate': '2026-04-22 11:00', 'todate': '2026-04-24 11:00'}, Response: {'message': 'Too many requests', 'errorcode': 'AB1021', 'status': False, 'data': None}
[E 260424 11:15:12 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData. Error: Too many requests. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '10:68:38:24:92:8e', 'Accept': 'application/json', 'X-PrivateKey': 'cYg849iM', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'exchange': 'NSE', 'symboltoken': '13538', 'interval': 'FIFTEEN_MINUTE', 'fromdate': '2026-04-22 11:15', 'todate': '2026-04-24 11:15'}, Response: {'message': 'Too many requests', 'errorcode': 'AB1021', 'status': False, 'data': None}
[E 260424 11:15:14 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData. Error: Too many requests. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '10:68:38:24:92:8e', 'Accept': 'application/json', 'X-PrivateKey': 'cYg849iM', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'exchange': 'NSE', 'symboltoken': '3506', 'interval': 'FIFTEEN_MINUTE', 'fromdate': '2026-04-22 11:15', 'todate': '2026-04-24 11:15'}, Response: {'message': 'Too many requests', 'errorcode': 'AB1021', 'status': False, 'data': None}
[E 260424 11:35:13 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData. Error: Too many requests. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': '10:68:38:24:92:8e', 'Accept': 'application/json', 'X-PrivateKey': 'cYg849iM', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'exchange': 'NSE', 'symboltoken': '694', 'interval': 'FIFTEEN_MINUTE', 'fromdate': '2026-04-22 11:35', 'todate': '2026-04-24 11:35'}, Response: {'message': 'Too many requests', 'errorcode': 'AB1021', 'status': False, 'data': None}
